time,date,year,month,month,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,country,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-16T12:25:43.528Z,2019-08-16,2019,08,2019-08,-18.2645,120.3358,10,4.1,mb,,106,2.935,0.37,us,us700058e8,2019-11-02T15:26:22.040Z,203km W of Broome, Australia,earthquake,7.2,2,0.197,7,reviewed,us,us
2019-08-13T02:14:45.386Z,2019-08-13,2019,08,2019-08,-33.7743,131.142,10,4.6,mb,,70,4.228,0.88,us,us600054d0,2019-11-02T15:26:02.040Z,299km SW of Ceduna, Australia,earthquake,9,1.9,0.133,17,reviewed,us,us
2019-08-12T19:11:48.070Z,2019-08-12,2019,08,2019-08,-21.4847,120.5547,10,4.6,mb,,84,0.665,1.07,us,us60005463,2019-10-29T20:34:09.040Z,224km NNE of Newman, Australia,earthquake,3.7,2,0.172,10,reviewed,us,us
2019-08-01T23:03:58.468Z,2019-08-01,2019,08,2019-08,-18.3516,120.447,10,4.9,mb,,42,2.873,0.68,us,us60004yx2,2019-10-19T21:42:04.040Z,193km WSW of Broome, Australia,earthquake,6.6,1.9,0.112,25,reviewed,us,us
2019-08-01T16:49:19.387Z,2019-08-01,2019,08,2019-08,-34.6232,117.6946,10,4.2,mb,,165,1.733,0.72,us,us600052tn,2019-10-19T21:42:18.040Z,2km ENE of Mount Barker, Australia,earthquake,8.9,2,0.159,11,reviewed,us,us
2019-08-01T01:22:16.999Z,2019-08-01,2019,08,2019-08,-19.7723,133.9,10,5.1,mww,,60,0.435,0.67,us,us60004yd0,2019-10-19T21:42:02.040Z,34km WSW of Tennant Creek, Australia,earthquake,5.3,1.8,0.078,16,reviewed,us,us
2019-07-25T19:06:15.505Z,2019-07-25,2019,07,2019-07,-18.2225,120.3765,10,4,mb_lg,,96,2.983,0.94,us,us60004vi4,2019-10-11T20:12:30.040Z,198km W of Broome, Australia,earthquake,7.2,1.8,0.18,8,reviewed,us,us
2019-07-20T00:18:02.751Z,2019-07-20,2019,07,2019-07,-18.0599,120.2139,10,4.6,mb,,86,3.511,1.2,us,us70004pg7,2019-10-04T16:37:24.040Z,214km W of Broome, Australia,earthquake,8.7,2,0.244,5,reviewed,us,us
2019-07-19T09:21:27.935Z,2019-07-19,2019,07,2019-07,-18.0965,120.2808,10,4.6,mb,,97,3.09,0.84,us,us70004nrm,2019-10-04T16:37:19.040Z,207km W of Broome, Australia,earthquake,7,2,0.224,6,reviewed,us,us
2019-07-17T10:20:10.407Z,2019-07-17,2019,07,2019-07,-18.4535,120.2826,10,4.6,mb,,84,2.741,1.05,us,us70004m50,2019-10-04T16:37:08.040Z,213km WSW of Broome, Australia,earthquake,8.2,1.9,0.206,7,reviewed,us,us
2019-07-14T23:01:36.511Z,2019-07-14,2019,07,2019-07,-18.2782,120.2792,10,5,mww,,28,2.912,0.74,us,us70004k8e,2019-09-28T20:01:24.040Z,209km W of Broome, Australia,earthquake,5.7,1.7,0.086,13,reviewed,us,us
2019-07-14T21:33:50.889Z,2019-07-14,2019,07,2019-07,-18.0833,120.3321,10,4.7,mb,,98,3.111,0.82,us,us70004k76,2019-09-28T20:01:23.040Z,201km W of Broome, Australia,earthquake,8.8,1.9,0.194,8,reviewed,us,us
2019-07-14T15:58:32.648Z,2019-07-14,2019,07,2019-07,-18.1689,120.3277,10,4.5,mb,,85,3.027,0.95,us,us70004k49,2019-09-28T20:01:23.040Z,202km W of Broome, Australia,earthquake,6.8,1.9,0.221,7,reviewed,us,us
2019-07-14T10:58:00.228Z,2019-07-14,2019,07,2019-07,-18.407,120.4184,10,4.6,mb,,91,2.813,0.91,us,us70004k0j,2019-09-28T20:01:21.040Z,198km WSW of Broome, Australia,earthquake,9.6,1.9,0.146,14,reviewed,us,us
2019-07-14T07:26:36.127Z,2019-07-14,2019,07,2019-07,-18.0076,120.4803,10,4.9,mb,,42,3.213,0.79,us,us70004jy7,2019-09-28T20:01:20.040Z,185km W of Broome, Australia,earthquake,7.9,1.8,0.1,31,reviewed,us,us
2019-07-14T06:03:08.690Z,2019-07-14,2019,07,2019-07,-18.7883,120.2867,10,4.2,mb,,90,6.84,0.61,us,us60004ump,2019-09-28T20:00:40.040Z,224km WSW of Broome, Australia,earthquake,8.1,1.9,0.199,7,reviewed,us,us
2019-07-14T05:39:23.420Z,2019-07-14,2019,07,2019-07,-18.2242,120.3584,10,6.6,mww,,32,2.978,0.7,us,us70004jxe,2020-07-10T17:44:37.654Z,200km W of Broome, Australia,earthquake,6.5,1.5,0.029,116,reviewed,us,us
2019-06-20T14:30:06.493Z,2019-06-20,2019,06,2019-06,-33.3459,119.5242,10,4.2,mb,,102,1.962,1.17,us,us600043pw,2019-09-11T15:19:20.040Z,54km WNW of Ravensthorpe, Australia,earthquake,5.8,1.9,0.152,12,reviewed,us,us
2019-06-15T02:59:40.927Z,2019-06-15,2019,06,2019-06,-21.4085,121.0848,15.69,4.4,mb,,79,1.165,1.1,us,us6000411a,2019-09-06T14:25:07.040Z,257km NNE of Newman, Australia,earthquake,4.9,5.3,0.22,6,reviewed,us,us
2019-05-30T07:38:55.244Z,2019-05-30,2019,05,2019-05,-21.2953,132.0098,10,4.4,mb,,67,2.563,1.35,us,us70003t2c,2019-08-24T21:17:36.040Z,292km SW of Tennant Creek, Australia,earthquake,6.9,1.4,0.144,14,reviewed,us,us
2019-05-30T02:26:52.595Z,2019-05-30,2019,05,2019-05,-21.3078,132.0076,10,4.9,mww,,40,2.593,0.65,us,us70003t0e,2019-08-24T21:17:35.040Z,293km SW of Tennant Creek, Australia,earthquake,6.5,1.7,0.083,14,reviewed,us,us
2019-02-20T02:26:54.290Z,2019-02-20,2019,02,2019-02,-15.5269,129.2734,10,4.3,mb,,141,0.514,0.75,us,us1000j9de,2019-05-11T17:40:30.040Z,63km ENE of Kununurra, Australia,earthquake,4.8,2,0.238,5,reviewed,us,us
2019-02-01T08:28:16.760Z,2019-02-01,2019,02,2019-02,-24.5219,113.0182,10,4.5,mb,,160,2.177,1.14,us,us2000jbqi,2019-04-18T19:09:28.040Z,73km WNW of Carnarvon, Australia,earthquake,6,1.9,0.15,13,reviewed,us,us
