time,date,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,country,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-06T13:04:46.540Z,2019-12-06,-15.2594,-175.1035,10,6,mww,,47,3.488,0.54,us,us60006n19,2020-02-29T19:53:02.040Z,164km WNW of Hihifo, Tonga,6.5,1.6,0.089,12,reviewed,us,us
2019-12-05T12:24:44.024Z,2019-12-05,5.3809,126.754,44,5.6,mww,,36,2.044,0.85,us,us60006mdf,2020-02-29T19:52:53.040Z,125km SSE of Pondaguitan, Philippines,7.1,1.9,0.065,23,reviewed,us,us
2019-12-05T02:03:18.954Z,2019-12-05,45.336,150.1395,36,5.5,mww,,57,5.378,0.59,us,us60006m7z,2020-02-29T19:52:51.040Z,177km E of Kuril'sk, Russia,7.3,1.2,0.093,11,reviewed,us,us
2019-12-04T20:10:03.595Z,2019-12-04,-19.0677,169.5748,266,6,mww,,20,2.804,0.72,us,us60006m2j,2020-02-29T19:53:03.040Z,62km NNE of Isangel, Vanuatu,7.3,1.8,0.037,71,reviewed,us,us
2019-12-03T22:23:12.720Z,2019-12-03,-3.2231,150.7609,10,5.6,mww,,30,1.698,0.63,us,us60006lsm,2020-02-29T19:52:55.040Z,71km S of Kavieng, Papua New Guinea,7,1.8,0.065,23,reviewed,us,us
2019-12-03T08:46:35.780Z,2019-12-03,-18.5042,-70.576,38,6,mww,,82,0.258,1.38,us,us70006fh7,2020-07-10T17:55:35.215Z,28km W of Arica, Chile,5.5,1.9,0.071,19,reviewed,us,us
2019-12-02T05:01:54.821Z,2019-12-02,51.1867,-178.1001,28,6,mww,,57,0.578,1.03,us,us70006f6d,2020-10-12T05:12:08.165Z,70km E of Amatignak Island, Alaska,4.3,1.8,0.039,63,reviewed,us,us
2019-11-30T19:52:40.706Z,2019-11-30,-26.6111,178.3264,614.01,5.5,mww,,17,4.226,0.91,us,us70006eu5,2020-02-19T18:58:25.040Z,South of the Fiji Islands,,9.5,4.5,0.089,12,reviewed,us,us
2019-11-30T07:44:21.562Z,2019-11-30,13.8429,-91.893,19,5.7,mww,,157,0.704,1.17,us,us70006eqm,2020-02-19T18:58:23.040Z,50km S of Champerico, Guatemala,7.4,1.9,0.054,33,reviewed,us,us
2019-11-28T00:26:29.388Z,2019-11-28,-60.8961,-50.9118,10,5.5,mww,,50,3.801,0.67,us,us70006e09,2020-02-19T18:58:15.040Z,Scotia Sea,,3.7,1.7,0.05,39,reviewed,us,us
2019-11-27T10:00:39.869Z,2019-11-27,-22.0859,-179.4697,564.12,5.5,mww,,23,4.907,0.76,us,us70006dnx,2020-02-19T18:58:11.040Z,177km SSW of Ndoi Island, Fiji,10,5.2,0.08,15,reviewed,us,us
2019-11-27T07:23:42.383Z,2019-11-27,35.7174,23.2284,69,6,mww,,18,1.421,1.02,us,us70006dlt,2020-02-19T18:58:10.040Z,43km NW of Platanos, Greece,6.5,1.9,0.051,37,reviewed,us,us
2019-11-26T06:08:21.820Z,2019-11-26,41.5708,19.4242,10,5.5,mww,,19,0.866,1.34,us,us70006d2z,2020-07-10T17:54:46.671Z,22km W of Mamurras, Albania,5.7,1.8,0.038,65,reviewed,us,us
2019-11-26T02:54:12.872Z,2019-11-26,41.5138,19.5256,22,6.4,mww,,17,0.936,0.61,us,us70006d0m,2020-07-10T17:54:22.698Z,15km WSW of Mamurras, Albania,4.3,1.8,0.037,72,reviewed,us,us
2019-11-24T00:54:01.053Z,2019-11-24,51.3808,-175.5115,20,6.3,mww,,22,0.658,0.95,us,us70006cb6,2020-10-18T01:04:16.868Z,96km SE of Adak, Alaska,3.9,1.8,0.031,99,reviewed,us,us
2019-11-23T16:34:43.818Z,2019-11-23,-37.3696,177.2566,120.5,5.8,mww,,24,0.857,0.91,us,us70006c81,2020-02-14T22:02:15.040Z,69km NNE of Whakatane, New Zealand,8.4,1.8,0.047,43,reviewed,us,us
2019-11-23T12:11:15.564Z,2019-11-23,1.6436,132.8148,5,6.2,mww,,25,4.567,0.94,us,us70006c6w,2020-02-14T22:02:14.040Z,Papua region, Indonesia,6.5,1.7,0.042,54,reviewed,us,us
2019-11-20T23:50:43.955Z,2019-11-20,19.4533,101.3558,10,6.2,mww,,15,2.366,0.62,us,us70006ara,2020-07-10T17:53:43.441Z,32km ESE of Chaloem Phra Kiat, Thailand,6.4,1.7,0.049,40,reviewed,us,us
2019-11-20T21:03:57.835Z,2019-11-20,19.4452,101.2534,10,5.7,mww,,38,2.271,0.67,us,us70006anm,2020-07-10T17:53:32.604Z,23km SE of Chaloem Phra Kiat, Thailand,6.6,1.8,0.052,35,reviewed,us,us
2019-11-20T08:26:08.017Z,2019-11-20,53.128,153.6799,496,6.3,mww,,16,2.421,0.94,us,us70006a9e,2020-02-14T22:02:06.040Z,264km NW of Ozernovskiy, Russia,8.9,1.9,0.051,37,reviewed,us,us
2019-11-20T04:27:05.252Z,2019-11-20,13.8859,-93.2068,15,6.3,mww,,56,1.365,0.79,us,us70006a6q,2020-02-14T22:02:05.040Z,125km SW of Puerto Madero, Mexico,4.4,1.5,0.032,96,reviewed,us,us
2019-11-19T23:10:40.570Z,2019-11-19,-33.6399,-66.8723,10,5.7,mww,,21,2.333,0.86,us,us70006a4q,2020-07-10T17:53:22.523Z,62km SW of San Luis, Argentina,6.1,1.7,0.045,48,reviewed,us,us
2019-11-18T13:22:10.121Z,2019-11-18,7.6222,124.9103,14.45,5.9,mww,,41,0.861,0.73,us,us700069f4,2020-07-10T17:53:09.085Z,2km N of Kadingilan, Philippines,6.1,3.2,0.065,23,reviewed,us,us
2019-11-17T12:13:27.791Z,2019-11-17,-20.8071,-177.8316,499,5.8,mww,,62,4.938,0.92,us,us7000694m,2020-02-07T20:21:59.040Z,92km E of Ndoi Island, Fiji,10.3,2,0.05,38,reviewed,us,us
2019-11-16T10:19:13.323Z,2019-11-16,1.5673,126.3349,24,5.9,mww,,29,1.299,0.81,us,us700068sr,2020-02-07T20:21:43.040Z,128km E of Bitung, Indonesia,6.5,1.4,0.047,43,reviewed,us,us
2019-11-15T01:17:38.332Z,2019-11-15,1.6158,126.3469,35,5.9,mww,,22,1.32,1.33,us,us60006bu3,2020-02-07T20:21:16.040Z,130km E of Bitung, Indonesia,6.6,1.8,0.052,36,reviewed,us,us
2019-11-14T23:17:20.204Z,2019-11-14,1.5819,126.3309,24.57,5.5,mww,,27,1.311,0.75,us,us60006bse,2020-02-07T20:21:13.040Z,128km E of Bitung, Indonesia,6.2,3.2,0.078,16,reviewed,us,us
2019-11-14T21:12:54.753Z,2019-11-14,1.5361,126.4161,23,6,mww,,18,1.216,1.42,us,us60006bpw,2020-02-07T20:21:07.040Z,134km NW of Kota Ternate, Indonesia,6.6,1.7,0.061,26,reviewed,us,us
2019-11-14T18:45:39.058Z,2019-11-14,1.4326,126.3608,27.23,5.8,mb,,29,1.201,0.83,us,us60006bmg,2020-02-07T20:21:01.040Z,131km E of Bitung, Indonesia,6.8,3.9,0.034,321,reviewed,us,us
2019-11-14T16:17:40.578Z,2019-11-14,1.6213,126.4156,33,7.1,mww,,11,1.271,1.15,us,us60006bjl,2020-10-03T05:38:51.266Z,138km E of Bitung, Indonesia,6.1,1.7,0.036,75,reviewed,us,us
2019-11-14T05:26:24.940Z,2019-11-14,9.9368,57.6296,10,5.5,mww,,64,14.612,0.69,us,us60006bdi,2020-02-07T20:20:47.040Z,Carlsberg Ridge,,9.4,1.8,0.063,24,reviewed,us,us
2019-11-13T16:28:52.886Z,2019-11-13,13.6755,-90.9373,45,5.5,mww,,48,1.119,1.29,us,us60006b3s,2020-02-07T20:20:39.040Z,30km SSW of Puerto San Jose, Guatemala,6.5,1.8,0.065,23,reviewed,us,us
2019-11-13T13:44:05.000Z,2019-11-13,7.321,-35.4035,10,5.5,mww,,59,13.071,0.52,us,us60006b29,2020-02-07T20:20:36.040Z,Central Mid-Atlantic Ridge,,8.6,1.5,0.06,27,reviewed,us,us
2019-11-11T23:03:28.119Z,2019-11-11,-18.8625,-175.3675,10,6.2,mww,,17,5.152,0.75,us,us60006adv,2020-02-01T23:22:24.040Z,147km W of Neiafu, Tonga,6.4,1.7,0.063,24,reviewed,us,us
2019-11-11T23:00:21.446Z,2019-11-11,-18.6866,-175.3699,10,5.5,mww,,30,5.167,0.73,us,us60006adr,2020-02-01T23:22:24.040Z,146km W of Neiafu, Tonga,8,1.7,0.098,10,reviewed,us,us
2019-11-09T11:24:30.636Z,2019-11-09,-20.2924,-176.3942,255,5.6,mww,,45,5.832,0.95,us,us600069nz,2020-02-01T23:22:10.040Z,155km NW of Nuku`alofa, Tonga,10.4,1.9,0.058,29,reviewed,us,us
