time,year,month,date/month,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,states,region,,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-15T22:05:30.702Z,2019,9,2019-09,-30.3214,117.8995,10,4.4,mb,,115,2.043,0.97,us,us60005m9j,2019-12-05T18:30:52.040Z,Western Australia, Wongan Hills, Australia,earthquake,4.8,1.9,0.162,11,reviewed,us,us
2019-09-11T09:01:00.622Z,2019,9,2019-09,-23.6049,127.4754,10,4.1,mb,,37,5.741,0.71,us,us70005enr,2019-12-05T18:30:57.040Z,Western Australia, Warburton, Australia,earthquake,6.2,1.8,0.175,9,reviewed,us,us
2019-08-31T21:00:25.860Z,2019,8,2019-08,-35.3037,134.3524,11.69,4.2,mb,,78,2.862,1.22,us,us70005cdt,2019-11-15T17:21:07.040Z,South Australia, Port Lincoln, Australia,earthquake,7,4.7,0.136,15,reviewed,us,us
2019-08-18T12:49:44.803Z,2019,8,2019-08,-19.7672,133.9199,10,4.1,mb,,64,0.445,1.36,us,us700058g0,2019-11-02T15:26:24.040Z,Northern Territory, Tennant Creek, Australia,earthquake,5.2,1.9,0.198,7,reviewed,us,us
2019-08-18T11:38:41.484Z,2019,8,2019-08,-20.8538,151.929,10,4.7,mb,,51,4.561,0.72,us,us600056px,2019-11-02T15:26:14.040Z,Queensland, Yeppoon, Australia,earthquake,6.7,1.7,0.117,22,reviewed,us,us
2019-08-16T12:25:43.528Z,2019,8,2019-08,-18.2645,120.3358,10,4.1,mb,,106,2.935,0.37,us,us700058e8,2019-11-02T15:26:22.040Z,Western Australia, Broome, Australia,earthquake,7.2,2,0.197,7,reviewed,us,us
2019-08-13T02:14:45.386Z,2019,8,2019-08,-33.7743,131.142,10,4.6,mb,,70,4.228,0.88,us,us600054d0,2019-11-02T15:26:02.040Z,South Australia, Ceduna, Australia,earthquake,9,1.9,0.133,17,reviewed,us,us
2019-08-12T19:11:48.070Z,2019,8,2019-08,-21.4847,120.5547,10,4.6,mb,,84,0.665,1.07,us,us60005463,2019-10-29T20:34:09.040Z,Western Australia, Newman, Australia,earthquake,3.7,2,0.172,10,reviewed,us,us
2019-08-01T23:03:58.468Z,2019,8,2019-08,-18.3516,120.447,10,4.9,mb,,42,2.873,0.68,us,us60004yx2,2019-10-19T21:42:04.040Z,Western Australia, Broome, Australia,earthquake,6.6,1.9,0.112,25,reviewed,us,us
2019-08-01T16:49:19.387Z,2019,8,2019-08,-34.6232,117.6946,10,4.2,mb,,165,1.733,0.72,us,us600052tn,2019-10-19T21:42:18.040Z,Western Australia, Mount Barker, Australia,earthquake,8.9,2,0.159,11,reviewed,us,us
2019-08-01T01:22:16.999Z,2019,8,2019-08,-19.7723,133.9,10,5.1,mww,,60,0.435,0.67,us,us60004yd0,2019-10-19T21:42:02.040Z,Northern Territory, Tennant Creek, Australia,earthquake,5.3,1.8,0.078,16,reviewed,us,us
2019-07-25T19:06:15.505Z,2019,7,2019-07,-18.2225,120.3765,10,4,mb_lg,,96,2.983,0.94,us,us60004vi4,2019-10-11T20:12:30.040Z,Western Australia, Broome, Australia,earthquake,7.2,1.8,0.18,8,reviewed,us,us
2019-07-20T00:18:02.751Z,2019,7,2019-07,-18.0599,120.2139,10,4.6,mb,,86,3.511,1.2,us,us70004pg7,2019-10-04T16:37:24.040Z,Western Australia, Broome, Australia,earthquake,8.7,2,0.244,5,reviewed,us,us
2019-07-19T09:21:27.935Z,2019,7,2019-07,-18.0965,120.2808,10,4.6,mb,,97,3.09,0.84,us,us70004nrm,2019-10-04T16:37:19.040Z,Western Australia, Broome, Australia,earthquake,7,2,0.224,6,reviewed,us,us
2019-07-17T10:20:10.407Z,2019,7,2019-07,-18.4535,120.2826,10,4.6,mb,,84,2.741,1.05,us,us70004m50,2019-10-04T16:37:08.040Z,Western Australia, Broome, Australia,earthquake,8.2,1.9,0.206,7,reviewed,us,us
2019-07-14T23:01:36.511Z,2019,7,2019-07,-18.2782,120.2792,10,5,mww,,28,2.912,0.74,us,us70004k8e,2019-09-28T20:01:24.040Z,Western Australia, Broome, Australia,earthquake,5.7,1.7,0.086,13,reviewed,us,us
2019-07-14T21:33:50.889Z,2019,7,2019-07,-18.0833,120.3321,10,4.7,mb,,98,3.111,0.82,us,us70004k76,2019-09-28T20:01:23.040Z,Western Australia, Broome, Australia,earthquake,8.8,1.9,0.194,8,reviewed,us,us
2019-07-14T15:58:32.648Z,2019,7,2019-07,-18.1689,120.3277,10,4.5,mb,,85,3.027,0.95,us,us70004k49,2019-09-28T20:01:23.040Z,Western Australia, Broome, Australia,earthquake,6.8,1.9,0.221,7,reviewed,us,us
2019-07-14T10:58:00.228Z,2019,7,2019-07,-18.407,120.4184,10,4.6,mb,,91,2.813,0.91,us,us70004k0j,2019-09-28T20:01:21.040Z,Western Australia, Broome, Australia,earthquake,9.6,1.9,0.146,14,reviewed,us,us
2019-07-14T07:26:36.127Z,2019,7,2019-07,-18.0076,120.4803,10,4.9,mb,,42,3.213,0.79,us,us70004jy7,2019-09-28T20:01:20.040Z,Western Australia, Broome, Australia,earthquake,7.9,1.8,0.1,31,reviewed,us,us
2019-07-14T06:03:08.690Z,2019,7,2019-07,-18.7883,120.2867,10,4.2,mb,,90,6.84,0.61,us,us60004ump,2019-09-28T20:00:40.040Z,Western Australia, Broome, Australia,earthquake,8.1,1.9,0.199,7,reviewed,us,us
2019-07-14T05:39:23.420Z,2019,7,2019-07,-18.2242,120.3584,10,6.6,mww,,32,2.978,0.7,us,us70004jxe,2020-07-10T17:44:37.654Z,Western Australia, Broome, Australia,earthquake,6.5,1.5,0.029,116,reviewed,us,us
2019-06-20T14:30:06.493Z,2019,6,2019-06,-33.3459,119.5242,10,4.2,mb,,102,1.962,1.17,us,us600043pw,2019-09-11T15:19:20.040Z,Western Australia, Ravensthorpe, Australia,earthquake,5.8,1.9,0.152,12,reviewed,us,us
2019-06-15T02:59:40.927Z,2019,6,2019-06,-21.4085,121.0848,15.69,4.4,mb,,79,1.165,1.1,us,us6000411a,2019-09-06T14:25:07.040Z,Western Australia, Newman, Australia,earthquake,4.9,5.3,0.22,6,reviewed,us,us
2019-05-30T07:38:55.244Z,2019,5,2019-05,-21.2953,132.0098,10,4.4,mb,,67,2.563,1.35,us,us70003t2c,2019-08-24T21:17:36.040Z,Northern Territory, Tennant Creek, Australia,earthquake,6.9,1.4,0.144,14,reviewed,us,us
2019-05-30T02:26:52.595Z,2019,5,2019-05,-21.3078,132.0076,10,4.9,mww,,40,2.593,0.65,us,us70003t0e,2019-08-24T21:17:35.040Z,Northern Territory, Tennant Creek, Australia,earthquake,6.5,1.7,0.083,14,reviewed,us,us
2019-02-20T02:26:54.290Z,2019,2,2019-02,-15.5269,129.2734,10,4.3,mb,,141,0.514,0.75,us,us1000j9de,2019-05-11T17:40:30.040Z,Western Australia, Kununurra, Australia,earthquake,4.8,2,0.238,5,reviewed,us,us
2019-02-01T08:28:16.760Z,2019,2,2019-02,-24.5219,113.0182,10,4.5,mb,,160,2.177,1.14,us,us2000jbqi,2019-04-18T19:09:28.040Z,Western Australia, Carnarvon, Australia,earthquake,6,1.9,0.15,13,reviewed,us,us
2018-12-16T14:26:19.620Z,2018,12,2018-12,-23.3226,112.4979,10,5.8,mww,,43,1.737,0.76,us,us2000iu4a,2020-07-10T17:19:19.164Z,Western Australia, Carnarvon, Australia,earthquake,6,1.7,0.051,37,reviewed,us,us
2018-11-21T15:58:50.300Z,2018,11,2018-11,-33.2585,136.923,10,4.2,mb,,139,0.852,0.71,us,us1000hxfr,2019-02-02T20:02:31.040Z,South Australia, Cleve, Australia,earthquake,7.4,1.9,0.215,7,reviewed,us,us
2018-11-08T21:07:01.300Z,2018,11,2018-11,-34.3508,116.8388,10,5.2,mww,,61,1.458,0.97,us,us1000hpej,2019-01-21T16:42:51.040Z,Western Australia, Manjimup, Australia,earthquake,4.4,1.8,0.089,12,reviewed,us,us
2018-10-12T16:31:30.360Z,2018,10,2018-10,-34.3495,116.8696,10,4.5,mb,,151,1.451,1.26,us,us1000hb52,2018-12-21T21:15:50.040Z,Western Australia, Kojonup, Australia,earthquake,7.9,1.9,0.121,20,reviewed,us,us
2018-09-16T04:56:25.520Z,2018,9,2018-09,-34.3146,116.759,10,5.3,mww,,42,1.44,1.39,us,us2000hfcw,2018-11-21T18:19:12.040Z,Western Australia, Manjimup, Australia,earthquake,8.8,1.7,0.083,14,reviewed,us,us
2018-08-08T14:19:15.940Z,2018,8,2018-08,-32.3586,122.4347,10.35,4.1,mb,,84,4.419,0.73,us,us1000g5gz,2018-10-17T18:11:58.040Z,Western Australia, Esperance, Australia,earthquake,7.2,6.3,0.184,8,reviewed,us,us
2018-06-20T02:54:32.190Z,2018,6,2018-06,-32.413,122.4811,8.11,4.5,mb,,74,4.45,0.69,us,us1000ew2s,2018-09-19T15:15:50.040Z,Western Australia, Esperance, Australia,earthquake,7.3,4.5,0.145,14,reviewed,us,us
2018-06-18T06:26:49.110Z,2018,6,2018-06,-26.0891,121.5452,10,4.5,mb,,58,4.757,0.93,us,us1000eu88,2018-09-19T15:15:47.040Z,Western Australia, Laverton, Australia,earthquake,8.6,1.9,0.18,9,reviewed,us,us
2018-01-10T21:31:56.280Z,2018,1,2018-01,-18.867,123.3303,10,4,mb,,168,2.321,1.39,us,us2000cnw0,2018-04-03T01:40:25.040Z,Western Australia, Broome, Australia,earthquake,7.9,2,0.3,3,reviewed,us,us
2017-08-31T17:45:29.040Z,2017,8,2017-08,-25.7102,129.9133,10,4.3,mb,,53,4.161,0.86,us,us2000arkc,2017-11-28T18:33:55.040Z,Western Australia,, Australia,earthquake,3.9,2,0.239,5,reviewed,us,us
2017-08-06T04:21:50.710Z,2017,8,2017-08,-19.1146,128.0923,4.57,4.9,mb,,39,2.535,0.96,us,us2000a5b3,2017-10-25T00:37:59.040Z,Western Australia, Halls Creek, Australia,earthquake,3.9,3.4,0.09,39,reviewed,us,us
2017-06-09T17:16:14.240Z,2017,6,2017-06,-22.2934,121.1969,10,4.5,mb,,81,1.444,1.05,us,us20009msa,2017-08-16T02:42:21.040Z,Western Australia, Newman, Australia,earthquake,6.8,2,0.204,7,reviewed,us,us
2017-05-28T16:50:23.860Z,2017,5,2017-05,-19.8692,133.9267,6.49,4.3,mb,,64,0.394,1.04,us,us20009j83,2017-08-15T02:26:44.040Z,Northern Territory, Tennant Creek, Australia,earthquake,5.9,5.4,0.147,13,reviewed,us,us
2017-04-24T07:37:25.290Z,2017,4,2017-04,-32.2936,138.3526,23.93,4,mb,,121,2.004,1.09,us,us10008n8q,2017-07-21T02:32:04.040Z,South Australia, Quorn, Australia,earthquake,6.8,10.8,0.232,5,reviewed,us,us
2017-04-13T17:01:21.500Z,2017,4,2017-04,-25.6073,129.9183,10.8,4.5,mb,,119,4.109,0.77,us,us10008hbr,2017-07-05T18:09:58.040Z,Western Australia,, Australia,earthquake,5.1,4.2,0.121,20,reviewed,us,us
2017-04-13T16:31:06.360Z,2017,4,2017-04,-33.5328,148.9562,14.53,4.2,mb,,56,0.894,1.25,us,us10008hbg,2017-07-05T18:09:58.040Z,New South Wales, Millthorpe, Australia,earthquake,5.5,5.7,0.14,14,reviewed,us,us
2017-04-04T03:55:54.340Z,2017,4,2017-04,-25.9262,128.8547,13.86,4.4,mb,,45,4.885,0.97,us,us10008ghv,2017-06-23T07:26:29.040Z,Western Australia, Warburton, Australia,earthquake,8.4,6.3,0.267,4,reviewed,us,us
2017-03-26T20:00:04.110Z,2017,3,2017-03,-31.5062,122.8771,14.98,4.1,mb,,72,4.501,0.68,us,us10008dkr,2017-06-16T23:07:57.040Z,Western Australia, Stoneville, Australia,earthquake,4.9,6.6,0.165,10,reviewed,us,us
2017-01-03T15:30:19.000Z,2017,1,2017-01,-30.609,118.455,10,4.5,mb,,,,0.74,us,us10007pgt,2017-03-27T23:53:20.040Z,Western Australia, Merredin, Australia,earthquake,5.7,5.5,0.145,14,reviewed,aust,us
2016-11-10T10:24:51.000Z,2016,11,2016-11,-19.853,133.866,5,4.2,mb,,,,1.26,us,us100076lx,2017-02-02T02:21:06.040Z,Northern Territory, Tennant Creek, Australia,earthquake,5,1.9,0.528,1,reviewed,aust,us
2016-11-06T09:54:31.000Z,2016,11,2016-11,-19.106,127.987,10,4.8,mb,,,,1.14,us,us100075ug,2017-02-02T02:21:01.040Z,Western Australia, Halls Creek, Australia,earthquake,7.2,4.7,0.113,24,reviewed,aust,us
2016-11-03T16:25:13.000Z,2016,11,2016-11,-29.627,137.098,10,4.1,mb,,,,0.3,us,us100076nj,2017-01-24T02:02:16.040Z,South Australia, Roxby Downs, Australia,earthquake,7,3.1,0.212,6,reviewed,aust,us
2016-08-18T18:27:35.010Z,2016,8,2016-08,-19.6628,148.8618,10,4.3,mb,,146,2.49,0.52,us,us10006gd4,2016-11-15T02:21:53.040Z,Queensland, Bowen, Australia,earthquake,5.5,1.9,0.217,6,reviewed,us,us
2016-08-18T05:30:34.000Z,2016,8,2016-08,-19.73,148.92,2,4,ml,,,,0.34,us,us10006emu,2016-11-15T02:21:53.040Z,Queensland, Bowen, Australia,earthquake,10.7,6.8,,,reviewed,aust,aust
2016-08-18T04:30:08.800Z,2016,8,2016-08,-19.8352,148.7233,10,5.7,mww,,30,2.335,0.82,us,us10006em9,2017-10-31T12:42:21.340Z,Queensland, Bowen, Australia,earthquake,7.1,1.8,,,reviewed,us,us
2016-08-13T15:31:12.390Z,2016,8,2016-08,-23.8567,152.9265,10,4.6,mb,,115,2.255,1.07,us,us10006dl0,2016-11-15T02:21:47.040Z,Queensland, Bundaberg, Australia,earthquake,7.8,1.9,0.119,21,reviewed,us,us
2016-08-06T21:16:33.000Z,2016,8,2016-08,-25.572,129.804,0,4.2,mb,,,,1.42,us,us10006cca,2016-10-26T03:10:21.040Z,Western Australia,, Australia,earthquake,6.1,2,0.373,2,reviewed,aust,us
2016-07-16T11:44:49.000Z,2016,7,2016-07,-32.501,122.436,0,4,mb,,,,1.32,us,us20006gfc,2016-09-17T01:27:47.040Z,Western Australia, Esperance, Australia,earthquake,10.2,6.2,0.164,10,reviewed,aust,us
2016-07-14T10:08:55.000Z,2016,7,2016-07,-32.536,122.433,0,4,mb,,,,1.16,us,us20006g48,2016-09-08T01:50:31.040Z,Western Australia, Esperance, Australia,earthquake,9,7,0.184,8,reviewed,aust,us
2016-07-08T09:40:50.000Z,2016,7,2016-07,-32.458,122.511,0,5.2,mb,,,,1.2,us,us100061v2,2016-09-08T01:50:22.040Z,Western Australia, Esperance, Australia,earthquake,7.7,3.4,0.072,64,reviewed,aust,us
2016-06-19T01:54:09.000Z,2016,6,2016-06,-35.916,136.45,10,4.5,mb,,,,1.07,us,us200066gl,2016-08-27T02:15:28.040Z,South Australia, Kingscote, Australia,earthquake,5.5,1.9,0.127,18,reviewed,aust,us
2016-06-08T02:01:09.000Z,2016,6,2016-06,-32.337,122.386,0,4.2,mb,,,,1.72,us,us200062pn,2016-08-18T00:36:34.040Z,Western Australia, Stoneville, Australia,earthquake,8.7,1.9,0.158,11,reviewed,aust,us
2016-05-28T16:38:44.000Z,2016,5,2016-05,-32.285,122.396,15,4.9,mb,,,,1.5,us,us20005yv7,2016-08-10T22:30:25.040Z,Western Australia, Stoneville, Australia,earthquake,5,4.9,0.108,27,reviewed,aust,us
2016-05-28T15:30:27.000Z,2016,5,2016-05,-32.285,122.396,6,4.8,mb,,,,1.35,us,us20005yus,2016-08-10T22:30:25.040Z,Western Australia, Stoneville, Australia,earthquake,8.1,5,0.111,25,reviewed,aust,us
2016-05-21T11:08:31.000Z,2016,5,2016-05,-25.512,129.894,0,4.1,mb,,,,1.95,us,us20005yh7,2016-08-03T22:33:40.040Z,Western Australia,, Australia,earthquake,6.1,1.9,0.185,8,reviewed,aust,us
2016-05-21T09:08:34.000Z,2016,5,2016-05,-25.519,129.891,0,4.2,mb,,,,0.97,us,us10005j49,2016-08-03T22:33:40.040Z,Western Australia,, Australia,earthquake,5.8,1.9,0.186,8,reviewed,aust,us
2016-05-21T08:46:44.620Z,2016,5,2016-05,-25.5802,129.8082,10,4.4,mb,,95,4.186,0.64,us,us20005yh5,2016-08-03T22:33:40.040Z,Western Australia,, Australia,earthquake,6.5,1.9,0.189,8,reviewed,us,us
2016-05-21T08:46:18.000Z,2016,5,2016-05,-25.601,129.837,0,4.4,mb,,,,1.15,us,us10005j44,2016-08-03T22:33:40.040Z,Western Australia,, Australia,earthquake,6.5,1.9,0.155,12,reviewed,aust,us
2016-05-21T07:12:31.000Z,2016,5,2016-05,-25.532,129.838,0,4.2,mb,,,,1.05,us,us10005j3t,2016-08-03T22:33:40.040Z,Western Australia,, Australia,earthquake,8.1,1.9,0.187,8,reviewed,aust,us
2016-05-20T19:06:09.000Z,2016,5,2016-05,-25.574,129.812,0,4.2,mb,,,,2.12,us,us20005y4t,2016-08-03T22:33:39.040Z,Western Australia,, Australia,earthquake,8.2,5.4,0.2,7,reviewed,aust,us
2016-05-20T18:14:04.670Z,2016,5,2016-05,-25.5655,129.8841,10,6,mww,,24,1.53,1.33,us,us10005iyk,2018-03-13T01:22:51.756Z,Western Australia,, Australia,earthquake,2.2,1.7,,,reviewed,us,us
2016-04-28T16:52:44.000Z,2016,4,2016-04,-19.77,133.888,10,4.4,mb,,,,1.92,us,us10005c6s,2016-07-08T02:49:27.040Z,Northern Territory, Tennant Creek, Australia,earthquake,4.4,4.8,0.126,19,reviewed,aust,us
2015-12-25T18:40:07.390Z,2015,12,2015-12,-25.5522,154.145,15.31,4.2,mb,,186,2.775,0.61,us,us10004baa,2016-03-18T01:13:01.040Z,Queensland, Rainbow Beach, Australia,earthquake,8.6,5.3,0.176,9,reviewed,us,us
2015-11-03T01:07:44.000Z,2015,11,2015-11,-19.784,133.938,11,4.3,mb,,,,0.68,us,us200041hc,2016-01-30T02:11:04.040Z,Northern Territory, Tennant Creek, Australia,earthquake,3.5,5.1,0.16,11,reviewed,aust,us
2015-10-22T20:45:15.480Z,2015,10,2015-10,-25.4034,154.203,10,4.2,mb,,194,2.823,0.91,us,us2000404r,2016-01-22T23:41:10.040Z,Queensland, Rainbow Beach, Australia,earthquake,6.6,1.9,0.167,10,reviewed,us,us
2015-10-13T06:54:57.640Z,2015,10,2015-10,-22.5819,120.8975,11.25,4.3,mb,,55,1.4,1.05,us,us10003n84,2016-01-11T21:07:24.040Z,Western Australia, Newman, Australia,earthquake,6.1,5.6,0.168,10,reviewed,us,us
2015-10-07T20:30:12.490Z,2015,10,2015-10,-17.1882,121.8921,10,4.5,mb,,71,3.686,0.87,us,us10003l09,2016-01-04T22:29:35.040Z,Western Australia, Broome, Australia,earthquake,6.9,1.2,0.131,17,reviewed,us,us
2015-08-14T01:06:55.340Z,2015,8,2015-08,-25.4498,154.3241,10,4.3,mb,,73,2.933,1.07,us,us100036b0,2015-11-17T00:13:26.040Z,Queensland, Rainbow Beach, Australia,earthquake,9.4,1.8,0.147,13,reviewed,us,us
2015-08-01T04:46:24.830Z,2015,8,2015-08,-25.4093,154.1987,10,5.2,mb,,31,2.819,0.98,us,us10002x2n,2016-09-28T20:49:02.437Z,Queensland, Rainbow Beach, Australia,earthquake,7.3,1.7,0.08,60,reviewed,us,us
2015-08-01T03:38:44.590Z,2015,8,2015-08,-25.343,154.3348,9,5.4,mww,,18,2.943,0.87,us,us10002x1x,2019-12-20T10:43:29.745Z,Queensland, Rainbow Beach, Australia,earthquake,7,1.7,,,reviewed,us,us
2015-07-29T23:41:40.420Z,2015,7,2015-07,-25.3727,154.2281,9,5.5,mww,,21,2.846,0.71,us,us10002w8v,2020-08-19T19:19:13.142Z,Queensland, Rainbow Beach, Australia,earthquake,7.1,1.7,,,reviewed,us,us
2015-02-15T15:57:10.000Z,2015,2,2015-02,-25.219,151.374,15,4.9,mb,,,,1.1,us,usb000tpj7,2015-05-11T23:20:17.040Z,Queensland, Gayndah, Australia,earthquake,6.1,3.2,0.107,31,reviewed,aust,us
2014-12-01T10:25:16.100Z,2014,12,2014-12,-21.6482,131.1734,10,4.5,mb,,58,3.224,1.46,us,usb000t1ig,2015-02-24T00:35:15.040Z,Western Australia,, Australia,earthquake,4.8,1.9,0.54,3,reviewed,us,us
2014-11-28T03:01:45.000Z,2014,11,2014-11,-26.054,112.569,15,4,mb,,,,1.15,us,usc000t5y1,2015-02-24T00:35:08.040Z,Western Australia, Carnarvon, Australia,earthquake,11.2,8.8,0.259,5,reviewed,aust,us
2014-10-31T19:15:25.000Z,2014,10,2014-10,-30.815,121.232,10,4.5,mb,,,,1.99,us,usc000st80,2015-01-20T09:03:06.040Z,Western Australia, Kalgoorlie, Australia,earthquake,6.6,1.9,0.118,26,reviewed,aust,us
2014-09-26T15:38:16.000Z,2014,9,2014-09,-20.1,119.534,10,4.4,mb,,,,2.49,us,usb000sgcs,2014-12-20T00:53:59.040Z,Western Australia, Port Hedland, Australia,earthquake,4.9,1.9,0.202,7,reviewed,aust,us
2014-09-01T23:01:33.000Z,2014,9,2014-09,-19.942,133.872,5,4.3,mb,,,,1.07,us,usc000s8u1,2014-11-29T00:09:24.000Z,Northern Territory, Tennant Creek, Australia,earthquake,4.7,3.4,0.202,8,reviewed,aust,us
2014-08-13T15:22:33.000Z,2014,8,2014-08,-33.342,142.146,10,4,mb,,,,1.37,us,usb000s682,2014-11-15T04:07:07.000Z,New South Wales, Dareton, Australia,earthquake,,4.7,0.52,7,reviewed,aust,us
2014-06-09T18:07:35.000Z,2014,6,2014-06,-29.901,137.627,9,4,mb,,,,1.99,us,usc000rn36,2014-08-30T17:03:00.000Z,South Australia, Roxby Downs, Australia,earthquake,,7.2,0.231,5,reviewed,aust,us
2014-06-04T02:29:09.000Z,2014,6,2014-06,-29.867,137.71,13,4.2,mb,,,,1.01,us,usc000raqr,2014-08-30T17:03:00.000Z,South Australia, Roxby Downs, Australia,earthquake,,4.7,0.125,18,reviewed,aust,us
2014-05-13T09:44:10.200Z,2014,5,2014-05,-18.7196,149.9563,10,4.1,mb,,66,3.749,1.28,us,usc000r95k,2014-08-06T00:55:34.000Z,Queensland, Bowen, Australia,earthquake,,1.9,0.184,8,reviewed,us,us
2014-04-29T09:54:56.000Z,2014,4,2014-04,-32.796,139.541,13,4.6,mb,,,,0.92,us,usb000q3ij,2015-01-30T09:50:31.026Z,South Australia, Peterborough, Australia,earthquake,,1.5,0.173,12,reviewed,aust,us
2014-02-26T00:00:07.000Z,2014,2,2014-02,-30.679,121.187,0,4.5,mwr,,,,1.33,us,usc000my8y,2014-05-13T21:36:41.000Z,Western Australia, Kalgoorlie, Australia,earthquake,,3.3,0.083,14,reviewed,aust,us
2013-07-18T11:39:11.780Z,2013,7,2013-07,-19.777,133.953,10,4.4,mb,24,64,,1.16,us,usp000k24e,2014-11-07T01:51:17.877Z,Northern Territory,, Australia,earthquake,,2.9,,10,reviewed,us,us
2013-06-09T14:22:15.000Z,2013,6,2013-06,-26.11,131.994,0,5.3,mww,446,21.6,,,us,usc000hjry,2017-10-11T20:34:30.801Z,South Australia,, Australia,earthquake,,,,,reviewed,aust,us
2012-06-08T11:32:39.000Z,2012,6,2012-06,-30.748,150.4,0,4.1,ml,7,159.2,,,us,usp000jmh7,2014-11-07T01:48:02.047Z,New South Wales,, Australia,earthquake,,,,,reviewed,aust,aust
2012-06-08T11:31:00.000Z,2012,6,2012-06,-30.759,150.413,0,4,mwr,27,78.6,,,us,usp000jmh6,2016-01-04T23:29:31.572Z,New South Wales,, Australia,earthquake,,,,,reviewed,aust,us
